time/s,Ewe/V,simplifying data 20 pt,simplifying data 24 pt
80330,1.5796659,0,0
80335,1.5695391,0,0
80340,1.5750992,0,0
80345,1.5731312,0,0
80350,1.5728446,0,0
80355,1.5676856,0,0
80360,1.572749,0,0
80365,1.5696728,0,0
80370,1.5579602,0,0
80375,1.5833918,0,0
80380,1.5740292,0,0
80385,1.572902,0,0
80390,1.5834109,0,0
80395,1.5768571,0,0
80400,1.5699021,1,1
80405,1.5642081,0,0
80410,1.5747936,0,0
80415,1.5671124,0,0
80420,1.5713924,0,0
80425,1.5688894,0,0
80430,1.5736089,0,0
80435,1.5764558,0,0
80440,1.5765322,0,0
80445,1.5703607,0,0
80450,1.5698066,0,0
80455,1.5744305,0,0
80460,1.575768,0,0
80465,1.5712969,0,0
80470,1.5650107,0,0
80475,1.5778698,0,0
80480,1.5765896,0,0
80485,1.5745451,0,0
80490,1.5576353,0,0
80495,1.5741248,0,0
80500,1.5740675,1,0
80505,1.559011,0,0
80510,1.5709721,0,0
80515,1.5670742,0,0
80520,1.5781182,0,1
80525,1.5705708,0,0
80530,1.5796467,0,0
80535,1.5694053,0,0
80540,1.5746789,0,0
80545,1.5528967,0,0
80550,1.5793601,0,0
80555,1.5626031,0,0
80560,1.5730929,0,0
80565,1.5696919,0,0
80570,1.5644374,0,0
80575,1.5831051,0,0
80580,1.5866017,0,0
80585,1.5744495,0,0
80590,1.5603294,0,0
80595,1.5724434,0,0
80600,1.5812517,1,0
80605,1.5768762,0,0
80610,1.5498204,0,0
80615,1.5704561,0,0
80620,1.5748508,0,0
80625,1.5646285,0,0
80630,1.5713351,0,0
80635,1.5712587,0,0
80640,1.5735325,0,1
80645,1.5528394,0,0
80650,1.5720612,0,0
80655,1.5690422,0,0
80660,1.5687939,0,0
80665,1.5725962,0,0
80670,1.5737044,0,0
80675,1.5779845,0,0
80680,1.5719657,0,0
80685,1.5623165,0,0
80690,1.5734942,0,0
80695,1.5737044,0,0
80700,1.5734178,1,0
80705,1.5781755,0,0
80710,1.5777169,0,0
80715,1.5614376,0,0
80720,1.5720421,0,0
80725,1.5737044,0,0
80730,1.57487,0,0
80735,1.5708193,0,0
80740,1.5747936,0,0
80745,1.5683162,0,0
80750,1.56952,0,0
80755,1.5814046,0,0
80760,1.5736662,0,1
80765,1.5551323,0,0
80770,1.5644183,0,0
80775,1.5700358,0,0
80780,1.5736279,0,0
80785,1.5571767,0,0
80790,1.5749464,0,0
80795,1.5771437,0,0
80800,1.5635585,1,0
80805,1.5772966,0,0
80810,1.5790162,0,0
80815,1.5768954,0,0
80820,1.5774876,0,0
80825,1.5821307,0,0
80830,1.5733414,0,0
80835,1.5708766,0,0
80840,1.5775832,0,0
80845,1.5700167,0,0
80850,1.5757489,0,0
80855,1.5780226,0,0
80860,1.5750802,0,0
80865,1.5725579,0,0
80870,1.5723287,0,0
80875,1.5692333,0,0
80880,1.5688703,0,1
80885,1.5727682,0,0
80890,1.580602,0,0
80895,1.5774494,0,0
80900,1.5745451,1,0
80905,1.5718127,0,0
80910,1.571851,0,0
80915,1.5816339,0,0
80920,1.5634247,0,0
80925,1.5750228,0,0
80930,1.5714116,0,0
80935,1.5750228,0,0
80940,1.5678194,0,0
80945,1.5651062,0,0
80950,1.5773157,0,0
80955,1.5776596,0,0
80960,1.5677812,0,0
80965,1.5700167,0,0
80970,1.5727109,0,0
80975,1.5780226,0,0
80980,1.5527438,0,0
80985,1.5729784,0,0
80990,1.5758063,0,0
80995,1.5714498,0,0
81000,1.5669596,1,1
81005,1.5711058,0,0
81010,1.5755769,0,0
81015,1.574163,0,0
81020,1.5775832,0,0
81025,1.565794,0,0
81030,1.5755578,0,0
81035,1.5694244,0,0
81040,1.5714307,0,0
81045,1.5729401,0,0
81050,1.5726153,0,0
81055,1.5742967,0,0
81060,1.5742012,0,0
81065,1.5738381,0,0
81070,1.5770673,0,0
81075,1.5797805,0,0
81080,1.578271,0,0
81085,1.5759017,0,0
81090,1.5603294,0,0
81095,1.5732459,0,0
81100,1.5746789,1,0
81105,1.5790545,0,0
81110,1.5775832,0,0
81115,1.5769144,0,0
